tag,patterns,responses,sumber
#stunting #informasi #kesehatan #anak #organisasi,Di mana saya bisa mendapatkan informasi lebih lanjut tentang stunting?,"Informasi lebih lanjut tentang stunting dapat diperoleh dari berbagai sumber, seperti Kementerian Kesehatan, UNICEF, dan organisasi nirlaba yang bergerak di bidang kesehatan anak.",https://www.alodokter.com/stunting
#stunting #penanganan #pertumbuhan #anak,Apakah stunting bisa disembuhkan?,"Secara harfiah, stunting yang terjadi di usia dini (1000 HPK) tidak bisa disembuhkan. Namun, pertumbuhan anak bisa dikejar dengan intervensi gizi dan stimulasi yang tepat.",https://www.idai.or.id/publications/buku-idai/petunjuk-teknis-berbasis-bukti-diagnosis-dan-tata-laksana-stunting-secara-komprehensif-untuk-dokter-spesialis-anak
#stunting #ekonomi #indonesia #dampak,Bagaimana dampak stunting terhadap ekonomi Indonesia?,Stunting menyebabkan kerugian ekonomi yang besar. Anak dengan stunting berpotensi memiliki produktivitas dan pendapatan yang lebih rendah di masa depan. Hal ini dapat membebani keuangan negara.,https://bappenas.go.id/pencarian-data?keyword=stunting
#stunting #anak kembar #kesehatan #ibu hamil,Apakah anak kembar bisa mengalami stunting yang berbeda?,"Ya, anak kembar bisa mengalami stunting yang berbeda. Faktor asupan gizi yang diterima masing-masing anak, infeksi yang dialami, dan kondisi kesehatan ibu saat hamil bisa memengaruhi pertumbuhan anak kembar.",https://kumparan.com/kumparanmom/kenapa-anak-kembar-bisa-punya-tinggi-badan-berbeda-1537854509658456833
,,,
#MP-ASI,Apa itu MP-ASI?,"MPASI adalah singkatan dari Makanan Pendamping ASI. MPASI adalah makanan atau minuman bergizi seimbang yang diberikan kepada bayi berusia 6-24 bulan dengan takaran tertentu guna memenuhi kebutuhan gizi bayi.

MPASI bukan untuk menggantikan ASI, melainkan melengkapi asupan nutrisi yang didapatkan bayi dari ASI. Pada usia 6 bulan, kebutuhan energi dan nutrisi bayi mulai tidak tercukupi jika hanya berasal dari ASI. Oleh karena itu, MPASI dibutuhkan untuk menjamin kebutuhan gizi anak sehingga tumbuh dengan maksimal.","https://id.wikipedia.org/wiki/Pendamping_air_susu_ibu
https://www.halodoc.com/kesehatan/mpasi
https://promkes.kemkes.go.id/?p=8929
https://bebeclub.co.id/artikel/nutrisi/7-9-bulan/mpasi-pertama-untuk-kecerdasan-si-kecil
https://ayosehat.kemkes.go.id/buku-resep-makanan-lokal"
#MP-ASI,Apa manfaat MP-ASI bagi bayi?,"Manfaat MPASI:

Memenuhi kebutuhan gizi bayi yang sedang bertumbuh kembang
Melatih dan membiasakan bayi mengonsumsi makanan yang mengandung zat-zat gizi yang dibutuhkan oleh tubuhnya
Membantu mengembangkan kemampuan bayi dalam mengunyah dan menelan makanan
Mencegah terjadinya stunting dan kekurangan gizi
Memperkuat sistem kekebalan tubuh bayi","https://www.youtube.com/watch?v=UqO6JuY0c68
https://www.alodokter.com/komunitas/topic/perihal-mpasi-6-bulan
https://www.siloamhospitals.com/en/informasi-siloam/artikel/menu-mpasi-bayi-6-bulan"
#MP-ASI,Mengapa MP-ASI penting untuk perkembangan bayi?,"MPASI (Makanan Pendamping ASI) memiliki peran penting dalam perkembangan bayi karena beberapa alasan berikut:
1. Memenuhi Kebutuhan Gizi Bayi yang Semakin Meningkat
Seiring dengan bertambahnya usia, kebutuhan gizi bayi juga semakin meningkat. ASI saja tidak lagi mencukupi kebutuhan gizi bayi setelah usia 6 bulan. MPASI menyediakan sumber energi, protein, lemak, vitamin, dan mineral yang esensial untuk pertumbuhan dan perkembangan bayi yang optimal.
2. Melatih Kemampuan Makan dan Menelan Bayi
Pemberian MPASI membantu bayi belajar makan dengan cara yang benar. Bayi akan belajar mengunyah, menelan, dan merasakan berbagai tekstur makanan. Hal ini penting untuk perkembangan motorik oral dan persiapan makan makanan padat di masa depan.
3. Mencegah Stunting dan Kekurangan Gizi
Kekurangan asupan gizi pada masa bayi dapat berakibat fatal dan menyebabkan stunting, yaitu kondisi terhambatnya pertumbuhan fisik dan mental anak. MPASI yang bergizi seimbang dapat membantu mencegah stunting dan kekurangan gizi pada bayi.
4. Memperkuat Sistem Kekebalan Tubuh Bayi
MPASI yang kaya akan vitamin dan mineral, seperti vitamin C, zinc, dan zat besi, dapat membantu meningkatkan sistem kekebalan tubuh bayi sehingga mereka lebih tahan terhadap penyakit.
5. Membentuk Kebiasaan Makan yang Sehat
Pemberian MPASI yang tepat sejak dini dapat membantu membentuk kebiasaan makan yang sehat pada bayi. Bayi akan terbiasa dengan berbagai rasa dan tekstur makanan, sehingga mereka lebih terbuka untuk mencoba makanan baru dan sehat di masa depan.
6. Meningkatkan Kecerdasan Bayi
Beberapa penelitian menunjukkan bahwa MPASI yang kaya akan nutrisi penting seperti zat besi, kolin, dan asam lemak omega-3 dapat membantu meningkatkan perkembangan otak dan kecerdasan bayi.
Kesimpulannya, MPASI sangat penting untuk perkembangan bayi secara keseluruhan. Pemberian MPASI yang tepat dan bergizi seimbang dapat membantu bayi tumbuh kembang dengan optimal, mencegah stunting dan kekurangan gizi, serta meningkatkan kecerdasan mereka.","https://www.alodokter.com/komunitas/topic/mpasi-di-umur-5-bulan
https://yankes.kemkes.go.id/view_artikel/351/pentingnya-dan-tahap-pemberian-mpasi-pada-bayi
https://yankes.kemkes.go.id/view_artikel/351/pentingnya-dan-tahap-pemberian-mpasi-pada-bayi
https://www.halodoc.com/artikel/cari-tahu-mpasi-yang-ideal-sesuai-dengan-usia-si-kecil-bagian-1"
#MP-ASI,Kapan waktu yang tepat untuk memberikan MP-ASI kepada bayi?,"Pemberian MPASI yang tepat:
Waktu: MPASI diberikan pada bayi setelah usia 6 bulan.
Tekstur: Awalnya, MPASI harus diberikan dalam bentuk yang halus dan mudah ditelan, seperti puree. Seiring dengan perkembangan kemampuan bayi, tekstur MPASI dapat ditingkatkan secara bertahap.
Jenis makanan: MPASI harus mengandung berbagai macam makanan dari semua kelompok makanan, yaitu karbohidrat, protein, lemak, vitamin, dan mineral.
Jumlah: Jumlah MPASI yang diberikan kepada bayi harus disesuaikan dengan usia dan kebutuhan gizinya.","https://www.youtube.com/watch?v=UqO6JuY0c68
https://www.alodokter.com/komunitas/topic/perihal-mpasi-6-bulan
https://www.siloamhospitals.com/en/informasi-siloam/artikel/menu-mpasi-bayi-6-bulan"
#MP-ASI,Apa tanda-tanda bayi siap menerima MP-ASI?,"Tanda-tanda Bayi Siap Menerima MPASI
Umumnya, bayi siap menerima MPASI ketika mereka menunjukkan beberapa tanda-tanda berikut:

1. Kemampuan Kontrol Kepala dan Leher

Bayi mampu menahan kepalanya tegak tanpa bantuan saat duduk atau digendong.
Bayi mampu memiringkan kepalanya ke arah sendok saat makanan ditawarkan.
2. Kemampuan Duduk

Bayi mampu duduk sendiri dengan sedikit atau tanpa bantuan.
Bayi mampu menjaga keseimbangan saat duduk.
3. Refleks Menjulurkan Lidah Berkurang

Refleks menjulurkan lidah, yaitu gerakan mendorong makanan keluar dengan lidah, mulai berkurang.
Bayi mulai belajar untuk menutup mulut saat makanan disuapkan.
4. Minat Terhadap Makanan

Bayi menunjukkan ketertarikan pada makanan orang dewasa.
Bayi membuka mulut saat melihat sendok mendekati mulutnya.
Bayi menjulurkan tangan untuk meraih makanan.
5. Koordinasi Tangan dan Mulut

Bayi mampu mengkoordinasikan gerakan tangan dan mulutnya untuk memasukkan makanan ke dalam mulut.
Bayi mulai belajar untuk mengunyah makanan.
6. Tanda Kelaparan

Bayi menunjukkan tanda-tanda lapar seperti menangis, memasukkan tangan ke mulut, atau gelisah.
Bayi tidak puas setelah disusui atau minum susu formula.
7. Berat Badan

Bayi telah mencapai berat badan dua kali lipat dari berat badannya saat lahir.
Bayi bertambah berat badan dengan stabil.
Penting untuk diingat bahwa setiap bayi berbeda-beda. Beberapa bayi mungkin menunjukkan tanda-tanda kesiapan MPASI lebih awal atau lebih lambat daripada yang lain. Konsultasikan dengan dokter anak Anda untuk memastikan apakah bayi Anda sudah siap menerima MPASI.

Berikut beberapa tips tambahan:

Perkenalkan MPASI secara perlahan. Mulailah dengan satu jenis makanan baru dalam beberapa hari dan catat reaksi bayi Anda.
Berikan MPASI dalam tekstur yang halus dan mudah ditelan. Anda dapat menggunakan blender atau food processor untuk menghaluskan makanan.
Awasi bayi Anda saat makan. Pastikan mereka tidak tersedak atau tercekik.
Hentikan pemberian MPASI jika bayi Anda menunjukkan reaksi alergi.
Sumber informasi:

","https://www.nutriclub.co.id/artikel/nutrisi/4-6-bulan/tanda-bayi-siap-mpasi
https://m.youtube.com/watch?v=eV3H2DTgfZ8
https://www.nutriclub.co.id/
https://www.idai.or.id/artikel/klinik/asi/pemberian-makanan-pendamping-air-susu-ibu-mpasi"
#MP-ASI,Bagaimana cara memperkenalkan MP-ASI kepada bayi?,"Frekuensi pemberian MPASI pada bayi berbeda-beda tergantung usia dan kebutuhan gizinya berikut penjelasannya:

Usia 6-8 Bulan:

2-3 kali sehari: Berikan MPASI dalam bentuk puree atau mashed yang halus dan mudah ditelan.
1-2 kali sehari: Berikan camilan sehat seperti buah-buahan, yogurt, atau biskuit bayi.
ASI: Tetap berikan ASI on demand sebagai sumber utama nutrisi bayi.
Usia 9-11 Bulan:

3-4 kali sehari: Berikan MPASI dalam tekstur yang lebih kasar dan potongan yang lebih besar.
1-2 kali sehari: Berikan camilan sehat seperti buah-buahan, yogurt, atau biskuit bayi.
ASI: Tetap berikan ASI on demand atau susu formula 1-2 kali sehari.
Usia 12-24 Bulan:

3 kali sehari: Berikan MPASI dalam bentuk makanan padat yang mudah dimakan dengan tangan.
1-2 kali sehari: Berikan camilan sehat seperti buah-buahan, yogurt, atau biskuit bayi.
ASI: Tetap berikan ASI on demand atau susu formula 1-2 kali sehari.
Penting untuk diingat bahwa:

Jumlah MPASI yang diberikan kepada bayi harus disesuaikan dengan kebutuhan gizinya.
Bayi harus menunjukkan tanda-tanda lapar sebelum diberikan MPASI.
Bayi harus diberi makan dengan responsif, yaitu mengikuti isyarat lapar dan kenyang bayi.
Hindari memaksa bayi untuk makan.
Berhentilah memberi makan jika bayi menunjukkan tanda-tanda tidak mau makan.
Konsultasikan dengan dokter anak Anda jika Anda memiliki pertanyaan tentang pemberian MPASI.

","https://www.halodoc.com/artikel/mulai-mpasi-intip-jadwal-makan-bayi-usia-6-bulan
https://www.klikdokter.com/ibu-anak/kesehatan-balita/berapa-kali-anak-harus-makan-di-awal-mpasi
https://www.alodokter.com/informasi-penting-tentang-pemberian-mpasi-pada-bayi"
#MP-ASI,Apa saja sumber protein yang baik untuk MP-ASI?,"Ada banyak sumber protein yang baik untuk MPASI, baik dari sumber hewani maupun sumber nabati. Berikut beberapa contohnya:

Sumber protein hewani:

Daging: Daging ayam, sapi, ikan, dan hati sapi merupakan sumber protein hewani yang kaya zat besi dan zinc yang penting untuk perkembangan otak dan sistem kekebalan tubuh bayi.
Telur: Telur merupakan sumber protein hewani yang mudah diolah dan disukai bayi. Pilihlah telur yang dimasak matang untuk menghindari risiko salmonella.
Yogurt: Yogurt adalah sumber protein dan kalsium yang baik untuk bayi. Pilihlah yogurt plain tanpa tambahan gula atau rasa.
Sumber protein nabati:

Kacang-kacangan: Kacang merah, kacang hijau, kacang kedelai, dan kacang tanah merupakan sumber protein nabati yang kaya serat dan vitamin B. Pastikan kacang-kacangan dimasak dengan matang dan dihaluskan dengan baik sebelum diberikan kepada bayi.
Lentil: Lentil adalah sumber protein nabati yang kaya zat besi dan folat. Lentil dapat diolah menjadi sup atau puree yang lezat untuk bayi.
Tempe dan Tahu: Tempe dan tahu merupakan sumber protein nabati yang mudah diolah dan disukai bayi. Pilihlah tempe dan tahu yang berkualitas baik dan bebas dari bahan pengawet.
Alpukat: Alpukat adalah sumber protein nabati yang kaya lemak sehat dan vitamin E. Alpukat dapat dihaluskan dan diberikan kepada bayi sebagai camilan.
Tips:

Berikan berbagai macam sumber protein kepada bayi untuk memastikan mereka mendapatkan semua asam amino yang dibutuhkan.
Mulailah dengan satu jenis protein baru dan berikan selama 3-5 hari untuk melihat reaksi alergi.
Olah makanan menjadi tekstur yang halus dan mudah ditelan sesuai dengan kemampuan bayi dalam mengunyah dan menelan.
Konsultasikan dengan dokter anak jika Anda memiliki pertanyaan tentang pemberian protein untuk MPASI.",https://www.siloamhospitals.com/informasi-siloam/artikel/protein-nabati-untuk-mpasi
#MP-ASI,Apa yang harus dilakukan jika bayi menolak MP-ASI?,"Berikut beberapa tips untuk mengatasi bayi yang menolak MPASI:
Sabar dan jangan memaksa: Memaksa bayi makan hanya akan membuat mereka semakin stres dan menolak MPASI.
Tawarkan MPASI pada saat bayi lapar: Tanda-tanda bayi lapar seperti menangis, memasukkan tangan ke mulut, atau gelisah.
Berikan MPASI dalam porsi kecil: Berikan MPASI dalam jumlah sedikit terlebih dahulu dan tingkatkan secara bertahap.
Variasikan tekstur dan rasa MPASI: Coba berikan MPASI dengan tekstur yang berbeda-beda seperti puree, mashed, atau finger food. Anda juga dapat menambahkan sedikit bumbu alami seperti buah-buahan atau rempah-rempah untuk meningkatkan rasa.
Buat suasana makan yang menyenangkan: Ciptakan suasana makan yang tenang dan nyaman untuk bayi. Anda dapat mengajak bayi bermain musik atau menyanyikan lagu saat makan.
Berikan pujian dan dorongan: Pujilah bayi ketika mereka makan dengan baik dan berikan dorongan agar mereka terus mencoba.
Konsultasikan dengan dokter anak: Jika bayi Anda terus-menerus menolak MPASI dan Anda merasa khawatir, konsultasikan dengan dokter anak untuk mendapatkan saran dan pemeriksaan lebih lanjut.

","https://www.siloamhospitals.com/informasi-siloam/artikel/penyebab-bayi-sering-muntah
https://www.nutriclub.co.id/
https://m.youtube.com/watch?v=a1hfAj27d-g"
#MP-ASI,Bagaimana cara menyiapkan MP-ASI yang aman dan higienis?,"Menyiapkan MPASI yang aman dan higienis sangat penting untuk memastikan kesehatan dan kebersihan makanan yang diberikan kepada bayi. Berikut beberapa langkah yang dapat Anda ikuti:

Sebelum Memasak:

Cuci tangan: Cuci tangan Anda dengan sabun dan air mengalir selama minimal 20 detik sebelum dan setelah menyiapkan MPASI.
Siapkan peralatan: Pastikan semua peralatan masak dan makan yang digunakan untuk MPASI bersih dan bebas dari bakteri. Cuci dengan sabun dan air panas, atau sterilkan dengan alat sterilisasi.
Pilih bahan makanan: Pilih bahan makanan yang segar, berkualitas baik, dan aman untuk dikonsumsi bayi. Cuci bersih semua buah dan sayur sebelum diolah.
Cuci tangan bayi: Cuci tangan bayi Anda dengan sabun dan air mengalir sebelum makan.
Saat Memasak:

Masak hingga matang: Pastikan semua bahan makanan dimasak hingga matang sempurna untuk membunuh bakteri dan kuman. Hindari makanan yang setengah matang.
Pisahkan makanan mentah dan matang: Hindari kontak antara makanan mentah dan matang untuk mencegah kontaminasi silang.
Gunakan air bersih: Gunakan air bersih dan aman untuk minum untuk memasak MPASI.
Tutup makanan: Tutup makanan saat dimasak untuk menjaga kebersihan dan mencegah kontaminasi.
Setelah Memasak:

Dinginkan dengan cepat: Dinginkan MPASI yang sudah dimasak sesegera mungkin. Simpan dalam wadah kedap udara di dalam kulkas atau freezer.
Panaskan dengan benar: Panaskan MPASI yang sudah disimpan dengan benar sebelum diberikan kepada bayi. Hindari memanaskan MPASI berulang kali.
Sajikan dalam porsi kecil: Sajikan MPASI dalam porsi kecil sesuai dengan kebutuhan bayi.
Buang sisa makanan: Buang sisa makanan yang tidak dimakan bayi dalam waktu 2 jam jika disimpan di suhu ruangan, atau 4 hari jika disimpan di kulkas.
Tips tambahan:

Gunakan talenan dan pisau yang berbeda untuk bahan makanan mentah dan matang.
Cuci tangan dan peralatan masak secara menyeluruh setelah menangani bahan makanan mentah.
Hindari menggunakan bahan pengawet, pewarna, dan perasa buatan dalam MPASI.
Konsultasikan dengan dokter anak jika Anda memiliki pertanyaan tentang cara menyiapkan MPASI yang aman dan higienis.","https://www.halodoc.com/artikel/inilah-resep-mpasi-terbaik-untuk-bayi-6-bulan-pertama
https://www.nutriclub.co.id/artikel/nutrisi/10-12-bulan/spinach-power-ball
https://www.youtube.com/watch?v=Ck1bml_Pf68
https://www.idai.or.id/artikel/klinik/asi/pemberian-makanan-pendamping-air-susu-ibu-mpasi"
#MP-ASI,"Apakah boleh memberikan MP-ASI yang sudah jadi (makanan bayi instan)?

","
Memberikan MPASI instan kepada bayi boleh saja dilakukan, tetapi tidak disarankan sebagai satu-satunya sumber makanan. Berikut beberapa pertimbangan yang perlu diperhatikan:

Keuntungan MPASI instan:

Praktis dan mudah disiapkan: MPASI instan dapat menghemat waktu dan tenaga bagi orang tua yang sibuk.
Terfortifikasi: MPASI instan biasanya diperkaya dengan vitamin dan mineral penting yang dibutuhkan bayi.
Variasi rasa: MPASI instan tersedia dalam berbagai rasa yang dapat membantu bayi mengenal berbagai macam rasa makanan.
Kekurangan MPASI instan:

Mengandung bahan pengawet, perasa buatan, dan gula: Bahan-bahan ini tidak baik untuk kesehatan bayi dalam jangka panjang.
Kurang serat: MPASI instan umumnya lebih rendah serat dibandingkan dengan MPASI buatan sendiri.
Bisa menimbulkan alergi: Beberapa bayi mungkin alergi terhadap bahan-bahan tertentu dalam MPASI instan.
Rekomendasi:

Gunakan MPASI instan sebagai camilan atau selingan, bukan sebagai makanan utama.
Buatlah MPASI sendiri di rumah sebisa mungkin.
Pilihlah MPASI instan yang bebas dari bahan pengawet, perasa buatan, dan gula.
Perhatikan kandungan gizi pada MPASI instan dan pilihlah yang sesuai dengan kebutuhan bayi Anda.
Konsultasikan dengan dokter anak sebelum memberikan MPASI instan kepada bayi Anda.
Kesimpulan:

Memberikan MPASI instan kepada bayi boleh saja, tetapi tidak disarankan sebagai satu-satunya sumber makanan. Sebaiknya gunakan MPASI instan sebagai camilan atau selingan dan buatlah MPASI sendiri di rumah sebisa mungkin untuk memastikan kesehatan dan gizi bayi Anda.","https://www.halodoc.com/artikel/adakah-manfaat-memberikan-bubur-instan-sebagai-mpasi

https://www.nutriclub.co.id/artikel/nutrisi/4-6-bulan/tanda-bayi-siap-mpasi"
#MP-ASI,Bagaimana cara menyimpan sisa MP-ASI?,"Menyimpan sisa MPASI dengan benar sangat penting untuk menjaga kualitas dan keamanan makanan yang diberikan kepada bayi. Berikut cara-cara yang dapat Anda ikuti:

1. Dinginkan dengan Cepat:

Pindahkan sisa MPASI ke wadah penyimpanan kedap udara dalam waktu 2 jam setelah dimasak.
Dinginkan MPASI di kulkas selama 2-3 hari atau di freezer hingga 3-6 bulan.
2. Gunakan Wadah yang Tepat:

Pilih wadah penyimpanan yang kedap udara untuk mencegah kontaminasi dan menjaga kesegaran MPASI.
Gunakan wadah kaca, plastik BPA-free, atau stainless steel.
Hindari menggunakan wadah plastik yang tergores atau retak.
3. Tulis Tanggal Penyimpanan:

Tulis tanggal pembuatan MPASI pada wadah penyimpanan.
Hal ini membantu Anda mengetahui berapa lama MPASI telah disimpan dan kapan harus dibuang.
4. Panaskan dengan Benar:

Panaskan MPASI yang disimpan di kulkas hingga benar-benar panas sebelum diberikan kepada bayi.
Hindari memanaskan MPASI berulang kali.
Gunakan termometer makanan untuk memastikan suhu MPASI mencapai 75øC.
5. Buang Sisa Makanan:

Buang sisa MPASI yang tidak dimakan bayi dalam waktu 2 jam jika disimpan di suhu ruangan, atau 4 hari jika disimpan di kulkas.
Hindari memberikan MPASI yang sudah disimpan lebih dari 3-6 bulan (untuk MPASI beku).
Tips tambahan:

Jangan mencairkan MPASI beku dengan cara dibiarkan di suhu ruangan. Cairkan MPASI beku di kulkas semalaman atau di microwave dengan pengaturan defrost.
Potong MPASI menjadi porsi kecil sebelum dibekukan untuk memudahkan proses pencairan.
Hindari membekukan MPASI yang sudah dicampur dengan ASI.","https://www.nutriclub.co.id/artikel/nutrisi/10-12-bulan/spinach-power-ball
https://www.youtube.com/watch?v=Ck1bml_Pf68"
#ASI,"Berikan pengertian tentang ASI esklusif?
","ASI Eksklusif adalah pemberian Air Susu Ibu (ASI) kepada bayi tanpa pemberian makanan dan minuman lain, kecuali obat, selama 6 bulan pertama kehidupannya.

Artinya:

Bayi hanya menyusu langsung dari payudara ibu atau melalui botol yang berisi ASI perah.
Bayi tidak diberikan susu formula, air putih, jus, madu, bubur, atau makanan pendamping ASI (MPASI) lainnya.
Pemberian obat harus dikonsultasikan dengan dokter anak terlebih dahulu.","https://yankes.kemkes.go.id/view_artikel/1046/asi-eksklusif
https://www.halodoc.com/artikel/apa-manfaat-memberikan-asi-eksklusif-pada-bayi
https://upk.kemkes.go.id/new/ketahui-manfaat-asi-eksklusif-bagi-bayi-dan-ibu
https://dinkes.acehprov.go.id/detailpost/manfaat-asi-eksklusif-untuk-buah-hati-maupun-ibu-menyusui"
